,name,urls
445,"11/03/2015 :: B.Tech I Semester Regular (R-2013) 
		for 2014 Batch Results - January 2015", http://gvpce.ac.in/results/BTechISemReg(R2013)For2014Batch-Jan2015/btechsearch.asp
446,"05/03/2015 :: MCA V Semester Regular Results - 
		December 2014", http://gvpce.ac.in/results/MCAVSemReg-Dec2014/btechsearch.asp
447,"05/03/2015 :: MCA IV Semester Supplementary 
		Results - December 2014", http://gvpce.ac.in/results/MCAIVSemSupply-Dec2014/btechsearch.asp
448,"21/01/2015 :: M.Tech II Semester Regular (R-2013) 
		Revaluation Results - July 2014", http://gvpce.ac.in/results/M.TechIISemReg(R-2013)RevResult_July2014/mtechsearch.asp
449,"21/01/2015 :: M.Tech I Semester Supplementary 
		(R-2013) Results - September 2014", http://gvpce.ac.in/results/M.TechISemSupply(R-2013)Result_Sept2014/mtechsearch.asp
450,"21/01/2015 :: MCA III Semester Regular (R-2013) 
		Revaluation Results - December 2014", http://gvpce.ac.in/results/MCAIIISemReg(R2013)Rev-Dec2014/btechsearch.asp
451,"21/01/2015 :: MCA II Semester Supplementary 
		Revaluation Results - December 2014", http://gvpce.ac.in/results/MCAIISemSupplyRev-Dec2014/btechsearch.asp
452,"10/01/2015 :: B.Tech IV Semester 
		Supplementary(R-2009) Results - December 2014", http://gvpce.ac.in/results/BTechIVSemSupply(R2009)-Dec2014/btechsearch.asp
453,"10/01/2015 :: B.Tech III Semester 
		Supplementary(R-2012) Results - December 2014", http://gvpce.ac.in/results/BTechIIISemSupply(R2012)-Dec2014/btechsearch.asp
454,"10/01/2015 :: B.Tech III Semester 
		Supplementary(R-2009) Results - December 2014", http://gvpce.ac.in/results/BTechIIISemSupply(R2009)-Dec2014/btechsearch.asp
455,"10/01/2015 :: B.Tech III Semester Regular(R-2013) 
		Results - December 2014", http://gvpce.ac.in/results/BTechIIISemReg(R2013)-Dec2014/btechsearch.asp
456,"10/01/2015 :: B.Tech II Semester 
		Supplementary(R-2013) Results - December 2014", http://gvpce.ac.in/results/BTechIISemSupply(R2013)-Dec2014/btechsearch.asp
457,"10/01/2015 :: B.Tech II Semester 
		Supplementary(R-2012) Results - December 2014", http://gvpce.ac.in/results/BTechIISemSupply(R2012)-Dec2014/btechsearch.asp
458,"10/01/2015 :: B.Tech II Semester 
		Supplementary(R-2009) Results - December 2014", http://gvpce.ac.in/results/BTechIISemSupply(R2009)-Dec2014/btechsearch.asp
459,"08/01/2015 :: B.Tech V Semester Regular(R-2012) 
		Results - December 2014", http://gvpce.ac.in/results/BTechVSemReg(R2012)-Dec2014/btechsearch.asp
460,"08/01/2015 :: B.Tech V Semester 
		Supplementary(R-2009) Results - December 2014", http://gvpce.ac.in/results/BTechVSemSupply(R2009)-Dec2014/btechsearch.asp
461,"08/01/2015 :: B.Tech IV Semester 
		Supplementary(R-2009) Results - December 2014", http://gvpce.ac.in/results/BTechIVSemSupply(R2009)-Dec2014/btechsearch.asp
462,"08/01/2015 :: B.Tech IV Semester 
		Supplementary(R-2012) Results - December 2014", http://gvpce.ac.in/results/BTechIVSemSupply(R2012)-Dec2014/btechsearch.asp
463,"06/01/2015 :: B.Tech VII Semester Regular Results 
		- November 2014", http://gvpce.ac.in/results/BTechVIISemReg-Nov2014/btechsearch.asp
464,"06/01/2015 :: B.Tech VII Semester Supplementary 
		Results - November 2014", http://gvpce.ac.in/results/BTechVIISemSupply-Nov2014/btechsearch.asp
465,"06/01/2015 :: B.Tech VI Semester Supplementary 
		Results - November 2014", http://gvpce.ac.in/results/BTechVISemSupply-Nov2014/btechsearch.asp
466,"25/10/2014 :: M.Tech II Semester Regular Results 
		(R-2013) - June 2014", http://gvpce.ac.in/results/M.TechII(Reg)(R-2013)Result_June2014/mtechsearch.asp
467,"25/10/2014 :: B.Tech VIII Semester Supplementary 
		(R-2013) Revaluation Results - August 2014", http://gvpce.ac.in/results/B.TechVIII(Sup)_aug2014/btechsearch.asp
468,"29/09/2014 :: B.Tech V Semester Supplementary 
		Revaluation(R-2009) Examinations - June 2014", http://gvpce.ac.in/results/BTechVSemSupply(R-2009)RevJune2014/btechsearch.asp
469,"29/09/2014 :: B.Tech IV Semester Supplementary 
		Revaluation(R-2009) Examinations - June 2014", http://gvpce.ac.in/results/BTechIVSemSupply(R-2009)RevJune2014/btechsearch.asp
470,"29/09/2014 :: B.Tech III Semester Supplementary 
		Revaluation(R-2012) Examinations - June 2014", http://gvpce.ac.in/results/BTechIIISemSupply(R-2012)RevJune2014/btechsearch.asp
471,"29/09/2014 :: B.Tech III Semester Supplementary 
		Revaluation(R-2009) Examinations - June 2014", http://gvpce.ac.in/results/BTechIIISemSupply(R-2009)RevJune2014/btechsearch.asp
472,"29/09/2014 :: B.Tech II Semester Regular 
		Revaluation(R-2013) Examinations - June 2014", http://gvpce.ac.in/results/BTechIISemReg(R-2013)RevJune2014/btechsearch.asp
473,"29/09/2014 :: B.Tech II Semester Supplementary 
		Revaluation(R-2012) Examinations - June 2014", http://gvpce.ac.in/results/BTechIISemSupply(R-2012)RevJune2014/btechsearch.asp
474,"29/09/2014 :: B.Tech II Semester Supplementary 
		Revaluation(R-2009) Examinations - June 2014", http://gvpce.ac.in/results/BTechIISemSupply(R-2009)RevJune2014/btechsearch.asp
475,"29/09/2014 :: B.Tech I Semester Supplementary 
		Revaluation(R-2013) Examinations - June 2014", http://gvpce.ac.in/results/BTechISemSupply(R-2013)RevJune2014/btechsearch.asp
476,"29/09/2014 :: B.Tech I Semester Supplementary 
		Revaluation(R-2012) Examinations - June 2014", http://gvpce.ac.in/results/BTechISemSupply(R-2012)RevJune2014/btechsearch.asp
477,"29/09/2014 :: B.Tech I Semester Supplementary 
		Revaluation(R-2009) Examinations - June 2014", http://gvpce.ac.in/results/BTechISemSupply(R-2009)RevJune2014/btechsearch.asp
478,"22/09/2014 :: B.Tech VI Semester Regular &amp; Supply 
		Revaluation(R-2009) Examinations - June 2014", http://gvpce.ac.in/results/B.TechVISemesterRegular&Supple(R-2009)Examinations_June2014/btechsearch.asp
479,"22/09/2014 :: B.Tech IV Semester Regular 
		Revaluation (R-2012) Examinations - June 2014", http://gvpce.ac.in/results/B.TechIVSemesterRegular(R-2012)Examinations-June2014/btechsearch.asp
480,"18/09/2014 :: B.Tech VIII Semester Supplementary 
		(R-2009) Result, August 2014", http://gvpce.ac.in/results/BTechVIIISemSupply(R2009)-Aug2014/btechsearch.asp
481,"06/09/2014 :: MCA IV Semester Regular and 
		Supplementary Result, August 2014", http://gvpce.ac.in/results/MCAIVSemR&S-Aug2014/btechsearch.asp
482,"06/09/2014 :: MCA III Semester Supplementary 
		Result, August 2014", http://gvpce.ac.in/results/MCAIIISemSupply-Aug2014/btechsearch.asp
